Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRA12,OUT046,2195.997399
DRA12,OUT027,3637.931075
DRA12,OUT049,2363.621912
DRA24,OUT045,2622.371975
DRA24,OUT018,2309.320674
DRA24,OUT046,2527.892939
DRA59,OUT045,2950.888237
DRA59,OUT035,3123.961586
DRB01,OUT019,453.7350619
DRB01,OUT017,3135.96216
DRB01,OUT018,2697.002824
DRB01,OUT046,2882.681207
DRB01,OUT035,3258.795493
DRB13,OUT045,3048.33673
DRB13,OUT018,2689.706294
DRB13,OUT027,4906.968017
DRB13,OUT046,2902.59059
DRB24,OUT046,2369.82469
DRB24,OUT027,3962.536122
DRB24,OUT013,2558.948858
DRB24,OUT018,2161.621395
DRB25,OUT049,1763.329037
DRB25,OUT046,1648.92431
DRB25,OUT045,1616.852705
DRB25,OUT019,261.6526139
DRB48,OUT045,690.6391986
DRB48,OUT018,480.7431275
DRC01,OUT010,100.8298677
DRC01,OUT035,802.3707299
DRC01,OUT049,757.3069643
DRC12,OUT018,2725.689862
DRC12,OUT027,4951.573361
DRC12,OUT013,3143.26917
DRC12,OUT045,2927.845151
DRC13,OUT049,2084.419441
DRC13,OUT013,2032.463061
DRC13,OUT046,1870.671954
DRC13,OUT027,3232.688821
DRC24,OUT035,2580.278947
DRC24,OUT049,2549.002836
DRC24,OUT013,2516.513476
DRC24,OUT045,2368.752985
DRC24,OUT027,3993.712878
DRC24,OUT046,2358.096532
DRC24,OUT019,362.6291698
DRC25,OUT035,1407.321607
DRC25,OUT049,1409.124336
DRC25,OUT017,1419.449711
DRC27,OUT046,3754.516152
DRC27,OUT019,580.7557986
DRC27,OUT013,4135.597646
DRC27,OUT027,6339.936798
DRC36,OUT045,2784.541235
DRC36,OUT010,426.908614
DRC36,OUT019,416.7210013
DRC36,OUT049,2927.273159
DRC36,OUT018,2451.144787
DRC49,OUT049,2377.329003
DRC49,OUT017,2403.132148
DRC49,OUT013,2380.781519
DRC49,OUT018,2019.298199
DRC49,OUT045,2194.623303
DRC49,OUT019,342.4668165
DRD01,OUT013,853.4072002
DRD01,OUT019,138.3333762
DRD01,OUT027,1448.990377
DRD01,OUT046,847.4583135
DRD12,OUT010,205.8775892
DRD13,OUT046,1006.050333
DRD15,OUT018,3311.534093
DRD15,OUT027,5978.304617
DRD15,OUT017,3917.228894
DRD24,OUT045,2132.402333
DRD24,OUT035,2403.333552
DRD24,OUT019,341.7765571
DRD25,OUT013,1815.846078
DRD25,OUT017,1822.973464
DRD27,OUT035,1649.100418
DRD27,OUT046,1528.095796
DRD27,OUT018,1385.833895
DRD27,OUT027,2594.381245
DRD37,OUT027,1240.453194
DRD37,OUT035,761.312115
DRD49,OUT013,3951.045552
DRD49,OUT018,3396.060015
DRD49,OUT049,4004.226933
DRD49,OUT027,6111.989294
DRD60,OUT017,3071.526857
DRD60,OUT045,2772.885766
DRD60,OUT027,4720.301548
DRE01,OUT035,4158.745707
DRE01,OUT013,4038.724921
DRE01,OUT018,3438.304005
DRE01,OUT027,6202.796458
DRE01,OUT049,4086.64825
DRE01,OUT045,3708.174004
DRE01,OUT017,3922.204764
DRE03,OUT013,691.8161278
DRE03,OUT027,1264.849978
